[2026-06-24 07:40:12] User: Anonymous | Method: GET | Path: /api/login/ | Status: 405 | Time in mili second: 24.81ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:49] User: Anonymous | Method: POST | Path: /api/login/ | Status: 200 | Time in mili second: 4.32ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:51] User: Anonymous | Method: POST | Path: /api/login/ | Status: 200 | Time in mili second: 4.48ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:52] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 200 | Time in mili second: 3.73ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:54] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 200 | Time in mili second: 3.48ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:54] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 200 | Time in mili second: 4.30ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:54] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 429 | Time in mili second: 4.65ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:55] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 429 | Time in mili second: 4.71ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-24 07:41:55] User: Anonymous | Method: OPTIONS | Path: /api/login/ | Status: 429 | Time in mili second: 4.48ms | IP: 127.0.0.1 | Browser: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.122.1 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36
[2026-06-25 07:17:07] User: Anonymous | Method: POST | Path: /api/register/ | Status: 200 | Time in mili second: 37.37ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:08] User: Anonymous | Method: POST | Path: /api/register/ | Status: 200 | Time in mili second: 3.24ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:09] User: Anonymous | Method: POST | Path: /api/register/ | Status: 200 | Time in mili second: 2.35ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:10] User: Anonymous | Method: POST | Path: /api/register/ | Status: 200 | Time in mili second: 2.28ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:17] User: Anonymous | Method: POST | Path: /api/login/ | Status: 200 | Time in mili second: 587.57ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:21] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.59ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:25] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.49ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:17:50] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.62ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:02] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.45ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:04] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.55ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:05] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.47ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:06] User: Anonymous | Method: POST | Path: /api/login/ | Status: 429 | Time in mili second: 0.44ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:08] User: Anonymous | Method: POST | Path: /api/login/ | Status: 200 | Time in mili second: 623.39ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
[2026-06-25 07:18:26] User: test@example.com | Method: GET | Path: /api/dashboard/ | Status: 200 | Time in mili second: 1.70ms | IP: 127.0.0.1 | Browser: PostmanRuntime/7.49.1
